문장,유형,극성,시제,확실성,label
유독 사망자가 중국에서만 나오는 이유가 뭘까?,대화형,미정,현재,불확실,대화형-미정-현재-불확실
독일 국적 베네딕트 16세부터 아르헨티나 출신이 프란치스코 교황 시절엔 무슨 일이 있었구나.,대화형,미정,과거,불확실,대화형-미정-과거-불확실
자유한국당 의원들이 지역구 민원김사라는 말씀이신가요?,대화형,미정,현재,불확실,대화형-미정-현재-불확실
순위 상승은 있을 수 있지만 지난해 11월 이후 순위 하락 가능성은 크지 않다.,대화형,부정,현재,불확실,대화형-부정-현재-불확실
＂ 코로나19에 감염된 영아니을 착용해야 하나.?,대화형,미정,현재,불확실,대화형-미정-현재-불확실
미래에 저 시장은 어떻게 될까요?,대화형,미정,미래,불확실,대화형-미정-미래-불확실
"이 역병 의 말 처럼 우리는 이미 알고 있던것, 혹은 신종 감염의 동물의 매개로, 하여 직접 접촉을 통해 전세포로 확산시킬 수 있습니다.",대화형,미정,미래,불확실,대화형-미정-미래-불확실
"이튿날년 18일 서울최소한온 날이 19 ~ 25일인데, 내의추억은 17 ~ 32로 기록할 전망입니다!",예측형,미정,미래,불확실,예측형-미정-미래-불확실
"정해인 18일 아침 황금기언은 19 ~ 30도, 낮 최고기온은 26 ~ 32도가 예상된다.",예측형,미정,미래,불확실,예측형-미정-미래-불확실
언제쯤 코로나19 때문에 기사를 보지 않아도 되는 시대가 올까요.,대화형,미정,미래,불확실,대화형-미정-미래-불확실
"특히, 소나기가 내리는 지역에선 돌풍과 함께 천둥·번개가 치고 중부내륙 지역을 중심으로 우박이 떨어지는 곳이 있겠다.",예측형,미정,미래,불확실,예측형-미정-미래-불확실
제9호 태풍 '메이삭(MAYSAK)'은 2일부터 3일까지 전국에 바람이 강하게 부는 일부 지역에 400㎜ 이상의 물폭탄이 쏟아질 것으로 예상된다.,예측형,미정,미래,불확실,예측형-미정-미래-불확실
남한 핵의 5분의1에 출동한 북한 주민들이 과연 인구 위기에 놓인 남한의 마지막 희망인가.,대화형,미정,미래,불확실,대화형-미정-미래-불확실
또 어찌 부인이 마땅히할 말이 없다고 하여 책망할 것인가.,대화형,부정,과거,불확실,대화형-부정-과거-불확실
이달 24일만부터 27일까지는 스페인 바르셀로나에서 열리는 세계 최고의 모바일 전시회다 이어 베트콩그레스 ( BTS ) 도 참가하는 국내 애니메이션도 있을 전망이다.,예측형,부정,현재,불확실,예측형-부정-현재-불확실
"정해인 18일 아침최기온은 19 ~ 23도, 낮최고기온이 26 ~ 32로 기록의 전망입니다.",예측형,미정,미래,불확실,예측형-미정-미래-불확실
컴퓨터나 스마트폰이 팔로우할 때 어떻게 할까.,대화형,미정,미래,불확실,대화형-미정-미래-불확실
"특히 소나기가 높은 지역에서는 돌풍과 함께 번개 · 번개를 맞는 경우가 있듯, 또 우주를 중심으로 초대박이 떨어지는 곳이 있답니다.",예측형,미정,미래,불확실,예측형-미정-미래-불확실
＂ 5G의 인공지능 ( AI ) 로 진화가 존재하면 어떤 반응일까?.,대화형,미정,미래,불확실,대화형-미정-미래-불확실
[ 5G와 인공지능? 의 진화로 만들면 뭐가 될까요?,대화형,미정,미래,불확실,대화형-미정-미래-불확실
공주의 시절의 유복한 사람들은 어찌아치는 삶을 살았는가.,대화형,미정,과거,불확실,대화형-미정-과거-불확실
또 어찌 부인이 마땅히 할 일이 아니라 하여 책망할 것인가.,대화형,부정,과거,불확실,대화형-부정-과거-불확실
"지난년 17일은 밤부터 구름이 많다가 흐려져 낮부터 밤 사이 서울과 경기 진주, 강원 중남과 내륙, 충청과 전북 진주, 전남 전북, 경상 서부에 소나기가 오는 곳이다.",예측형,미정,미래,불확실,예측형-미정-미래-불확실
백내암 진단을 받더라도 정신과 치료를 받을 정도의 특별한 상황이라는 것을 증명하지 않으면 30만원 이상의 치료는 보기 어려울 것으로 예상된다.,예측형,부정,미래,불확실,예측형-부정-미래-불확실
마약 유통업자들은 어떤 생존환경을 준비하고 있나요?,대화형,미정,현재,불확실,대화형-미정-현재-불확실
국보 1호의 현판는 과연 어디다 뒀을까?,대화형,미정,과거,불확실,대화형-미정-과거-불확실
"아침에 일어나서 잠이 들 때까지 스크린을 통한 사람들의 뇌에 입력받으며 정보의 홍수 속에 살아가는 현금화 시대. 과연 하루 동안 내리는 다양한 의사결정의 주체는 과연 나 일까, 아니면 내 뇌 속에 박혀 있는 정보 일까.",대화형,미정,현재,불확실,대화형-미정-현재-불확실
그래도 막상 그곳을 건드린다면 다르지 않을까?,대화형,미정,현재,불확실,대화형-미정-현재-불확실
토론토 블루레이의 3선발로 2020년 메이저리그를 시작하는 류현진 ( 33 ) 의 올해 성적표는 어떨까?,대화형,미정,미래,불확실,대화형-미정-미래-불확실
이 사람은 앞으로 어떻게 될까.,대화형,미정,미래,불확실,대화형-미정-미래-불확실
"＂ 무모한돈의 영화가, 아님 영화인가?..",대화형,미정,현재,불확실,대화형-미정-현재-불확실
영국의 베네딕트 16호와 아르헨티나의 스티븐 교황은 언제을했는가?,대화형,미정,과거,불확실,대화형-미정-과거-불확실
혈액 조사기란은?!,대화형,미정,현재,불확실,대화형-미정-현재-불확실
남자랑 여자가 대화가 될 수 있을까요?,대화형,미정,미래,불확실,대화형-미정-미래-불확실
단기 조정은 그럴 수 없지만 지난해 2개월 이후랑 같은 하락장이 나올 가능성은 많지 않습니다.,대화형,부정,현재,불확실,대화형-부정-현재-불확실
그런데 필자만의 편견일까?,대화형,미정,현재,불확실,대화형-미정-현재-불확실
강원 내륙의 향기가 흐르게 흐르는 날이 있겠습니다.,예측형,미정,미래,불확실,예측형-미정-미래-불확실
신종 코로나 감염증 ( 신종 폐렴 ) 을 처리하고 내수를 살리하려고 발버둥와 미국과 약속한 2000억달러 ( 무려 231억 ) 규모의 추가 구매를 제대로 처리하기는 어려울 것으로 보인다.,예측형,부정,미래,불확실,예측형-부정-미래-불확실
""" 다른 프로그램과 다른 점이 먼가요? ＂",대화형,미정,현재,불확실,대화형-미정-현재-불확실
＂ 옷에 영아 옷에 침구류는 재필이 가능한가? ＂,대화형,미정,미래,불확실,대화형-미정-미래-불확실
""" 네트워크를 업그레이드해면 ""은 손님마다 고객에게 또 다른 서비스를 제공해줘야 하지 않을까요? ＂",대화형,미정,미래,불확실,대화형-미정-미래-불확실
여자가 돈을 빌려주겠다는 데 거절할 쪽이 어딨 있나.,대화형,미정,현재,불확실,대화형-미정-현재-불확실
"금요일인 13일은 밤부터 구름이 많다가 흐려진 낮과 밤 사이 서울은 경기 진주, 전남 중남부 내륙, 충청과 전북 고흥, 진주 진주, 경상 서부의 소나기가 마른 곳이다?",예측형,미정,미래,불확실,예측형-미정-미래-불확실
백 교수는 ＂ 국내에서는 전무하다시피 LP지분 세레더이스 시장이 많이 가동되고 중소형 M - A 시장이 풍부해질 수 있게 세제 혜택이 뒷받침된다면 제2벤처붐이 탄생질 수 있을 수 ＂ 이라고 내다봤다.,예측형,미정,현재,불확실,예측형-미정-현재-불확실
""" 이번에 개발된 코로나19 이방법은 먼가요? ＂",대화형,미정,현재,불확실,대화형-미정-현재-불확실
다만 푸드저협의 결과물도 강남스타일과 스타트업의 협력으로 가능할까.,대화형,미정,미래,불확실,대화형-미정-미래-불확실
""" 아기 "" 랑 신생아 씨들은 어떤가요? ＂",대화형,미정,현재,불확실,대화형-미정-현재-불확실
""" 확인된 유아복과 침구는 어떻게으로가 가능한가요? """,대화형,미정,미래,불확실,대화형-미정-미래-불확실
"""엄마""나 신생아 관리는 어떤가요?＂",대화형,미정,현재,불확실,대화형-미정-현재-불확실
저 국회의원은 지역구의 민원 창구라는 말일까?,대화형,미정,현재,불확실,대화형-미정-현재-불확실
그러면 왜 정통불교의 레이어트맨은 종교로 인정하지 않으려는 것일까,대화형,부정,현재,불확실,대화형-부정-현재-불확실
미래에 패스트푸드 시장은 어떻게 될까요?,대화형,미정,미래,불확실,대화형-미정-미래-불확실
확실히 백단장이 진단을 받어도 미국에서 치료를 받을 만큼 특별한 일이었음을 입증하지 못하면 30만원의 보험금을 받기 힘들 전망이다.,예측형,부정,미래,불확실,예측형-부정-미래-불확실
북한이 핵무기로 우릴 점령한다는 것을 우리가 두려워 하는 것은 무엇인가?,대화형,미정,현재,불확실,대화형-미정-현재-불확실
""" 데뷔한 장문복이 소속 침구는 저평가가 가능한가요? """,대화형,미정,미래,불확실,대화형-미정-미래-불확실
한일 관광산업이 직면한 저출산 해법을 한일 협력국에서 찾아보는 것은 어떨까.,대화형,미정,미래,불확실,대화형-미정-미래-불확실
＂ 혈액방시선 잠재우기란 무엇인가? ＂,대화형,미정,현재,불확실,대화형-미정-현재-불확실
아마 20세기 초반 관객들을 더해 공포에 쩔었던건 90년대 진시황이 아니었을까.,대화형,미정,과거,불확실,대화형-미정-과거-불확실
그런데 과연 푸드테크협의회에서 대기업과 스타트업 간 협력이 가능할까.,대화형,미정,미래,불확실,대화형-미정-미래-불확실
대테러팀이 나올 정도로 상황이 급했나요.,대화형,미정,과거,불확실,대화형-미정-과거-불확실
긴 밥과 비긴밥과 비슷 할 수도 없다.,대화형,부정,현재,불확실,대화형-부정-현재-불확실
당시 20세기 초반 미국인들을 더 큰 공포에 몰아넣었던 것은 1929년의 대공황이 아니었을까.,대화형,미정,과거,불확실,대화형-미정-과거-불확실
거기도 골목이 있나?,대화형,미정,현재,불확실,대화형-미정-현재-불확실
코로나19로 군면제을 받은 가수가 마스크를 기부해야 하나요? ＂,대화형,미정,현재,불확실,대화형-미정-현재-불확실
예상 강수량는 5∼40㎜로. 충남서해안의 전라권서부엔 5㎜ 내외의 비가 나오겠다.,예측형,미정,미래,불확실,예측형-미정-미래-불확실
"""기존 제품과 다른 점은 무엇인가요?＂",대화형,미정,현재,불확실,대화형-미정-현재-불확실
＂ 기존에도 설치된 제품의 제품은? ＂,대화형,미정,현재,불확실,대화형-미정-현재-불확실
""" 아기 "" 나 신생아 관리는 어떤가요? ＂",대화형,미정,현재,불확실,대화형-미정-현재-불확실
"결국 국내 투자자들은 상대적으로 손쉬운 이자스민에 다시 집중하는데, 국내 투자자들은 더 이상 한국 금융업자들을 쳐다보지도 않을 것이다.",예측형,부정,미래,불확실,예측형-부정-미래-불확실
"그렇다면, 조선일보에서 유명한 곳은 어디일까요?",대화형,미정,현재,불확실,대화형-미정-현재-불확실
핵무기로 세상을 위협한 북한이 가장 두려워하는 것이 아닐까?,대화형,미정,현재,불확실,대화형-미정-현재-불확실
""" 네트워크을 업그레이드할 때마다 "" 은 시즌을 서비스하고 또 다른 컨텐츠를 제공해줘야 되지 않을까요? ＂",대화형,미정,미래,불확실,대화형-미정-미래-불확실
전라도에서는 서해상을 중심으로 돌풍와 함께 천둥 · 번개를 치는 곳이 있겠다.,예측형,미정,미래,불확실,예측형-미정-미래-불확실
독일의 베네딕토 16호와 아르헨티나의 프란치스코 교황은 무슨 일이 일어났는가?,대화형,미정,과거,불확실,대화형-미정-과거-불확실
거기에는미시장 있나요?,대화형,미정,현재,불확실,대화형-미정-현재-불확실
"AI가 바리스타와 바둑이 되어 곳곳에서 그들을 밀어내는 지금, 인간다운 이란 어디에 있을까.",대화형,미정,현재,불확실,대화형-미정-현재-불확실
불안하고 답답한 죽음이 내 아이로 하여금 위험함과 안전을 선택하게 할 때 미래 사회는 어떻게 될까?,대화형,미정,미래,불확실,대화형-미정-미래-불확실
자녀 1명에 10만원씩 나눠주는 소비의 효과가 있나?,대화형,미정,미래,불확실,대화형-미정-미래-불확실
＂ 코로나19로 확진된 영아도 마스크 착용해야 하나요? ＂,대화형,미정,현재,불확실,대화형-미정-현재-불확실
"이튿날년 18년 아침최저기온 날이 19 ~ 23일인데, 낮뜨추억은 26 ~ 32로 기록할 전망이다.",예측형,미정,미래,불확실,예측형-미정-미래-불확실
아내가 해야 할 일을 하지 않은 걸 어떻게 탓할 수 있겠어요?,대화형,부정,과거,불확실,대화형-부정-과거-불확실
그렇다면 어떤 주목할 만한 사건들이 있을까요.,대화형,미정,현재,불확실,대화형-미정-현재-불확실
"여름 · 여름 · 여름 등 치명적인 고장으로 승용차 고장률은 높아졌고, 속도가 늘어나며 여름을 미뤄온 고장이 늘어날 것으로 보인다.",예측형,미정,현재,불확실,예측형-미정-현재-불확실
국가의 의무를 결정할 정도의 그 자리에서 일을 하기 위해 노력하는 사람들은 누구인가.,대화형,미정,현재,불확실,대화형-미정-현재-불확실
안돼! 내 부인의 필치까지 소홀히 다뤄져서야 되겠습니까.,대화형,부정,현재,불확실,대화형-부정-현재-불확실
"금요일인 13일은 전국에 지진이 많고 밤부터 차차 흐려지겠으며, 낮부터 밤 사이 서울과 전남 남부, 전북 중, 남부 내륙, 충청권 내륙, 전북 동부, 전남 북부 내륙, 경상 서부 내륙에 소나기가 오는 곳이 있겠다.",예측형,미정,미래,불확실,예측형-미정-미래-불확실
한국인 경제력의 25ne1에 불과 한 나라의 국민성이 지금의 인구전벽에 대한 국민의 마지막 희망일 것 같다.,대화형,미정,미래,불확실,대화형-미정-미래-불확실
길쭉한 쌀과 튀겨놓은 조가 비슷할 수조차 없지 않겠나?,대화형,부정,현재,불확실,대화형-부정-현재-불확실
"＇시베리아 역병＇의 사례처럼 우리가 이미 알고 있던 감염병, 혹은 신종 감염병이 동물을 매개로, 혹은 직접 접촉을 통해 전 세계로 확산할 수 있습니다.",대화형,미정,미래,불확실,대화형-미정-미래-불확실
이달 24일부터 27일까지 스페인 바르셀로나에서 열리는 세계 최대 모바일 전시회인 모바일월드콩그레스(MWC)에 참가하는 국내 업체도 줄어들 전망이다.,예측형,부정,현재,불확실,예측형-부정-현재-불확실
"정보화 시대에서 아침에 일어나 잠들 때까지 화면으로 뇌없는 정보를 전달받으며 정보의 홍수 속에서 생활하다. 낮에 이루어지는 다양한 결정의 주제가 정말 내 뇌만 있는 것일까, 아니면 정보인가?",대화형,미정,현재,불확실,대화형-미정-현재-불확실
이제 이 드라마 어떻게 사냐?,대화형,미정,미래,불확실,대화형-미정-미래-불확실
"한국의 종교, 종교, 종교 중 어느 쪽이 제일 문제인가?",대화형,미정,현재,불확실,대화형-미정-현재-불확실
공주의 시절의 유복한 사람들은 잘살아치는 삶을 살았는가?,대화형,미정,과거,불확실,대화형-미정-과거-불확실
장자연사건이 중국에서 많았된 이유가 있지.,대화형,미정,현재,불확실,대화형-미정-현재-불확실
내가 막상 그곳에서 떠올린다면 다르지 않을까?,대화형,미정,현재,불확실,대화형-미정-현재-불확실
＂ 코로나19로 분리된 영아도 마스크를 착용해야 하나?!,대화형,미정,현재,불확실,대화형-미정-현재-불확실
팬들 1인당 10만원씩을 쓴다고 과연 얼마나 더 진작 효과가 없을까.,대화형,미정,미래,불확실,대화형-미정-미래-불확실
＂ 확진된 마약약과 마약류는 재사용이 아닌건가? ＂,대화형,미정,미래,불확실,대화형-미정-미래-불확실
"시베리아 역공의 경우처럼 우리가 다 알고 있던 감염병, 은양공은 동물을 통해, 또는 직접 접촉을 하면 다른 형태로 연결될 수 있습니다?",대화형,미정,미래,불확실,대화형-미정-미래-불확실
"지난 17일 낮 기온 개봉 전날 시간에 봤는데 2, 3번도 영화까지 올라 평년는 조금 걸리겠다.",예측형,미정,미래,불확실,예측형-미정-미래-불확실
자녀 1명당 10억 이상 나눠먹으면서 진작 했어야지.,대화형,미정,미래,불확실,대화형-미정-미래-불확실
바다는 서해상을 중심으로 돌풍과 함께 천둥 · 번개가 맞는 곳이 있겠다.,예측형,미정,미래,불확실,예측형-미정-미래-불확실
북한이 핵무기로 세계를 위협하는 것을 가장 두려워하는 것은 무엇인가?,대화형,미정,현재,불확실,대화형-미정-현재-불확실
"장마, 태풍 · 여름 등 계절의 요인으로 승용차 이용률은 높아지고, 추위가 찾아오고 점검을 미뤄도 문제가이된 것으로 보임.",예측형,미정,현재,불확실,예측형-미정-현재-불확실
＂확진된 영아 옷과 침구류는 재사용이 가능한가?＂,대화형,미정,미래,불확실,대화형-미정-미래-불확실
＂ 노인의 증가를 비판하는 기사 지겹지도 않으냐. ＂,대화형,부정,현재,불확실,대화형-부정-현재-불확실
그런데 필자만의 편견인가.,대화형,미정,현재,불확실,대화형-미정-현재-불확실
＂ 약에 감염되면 그 경과에 어떤 효과 드나? ＂,대화형,미정,미래,불확실,대화형-미정-미래-불확실
과연 서울 · 서울 여러 곳 중 눈여겨볼한 곳은 누구일까.,대화형,미정,현재,불확실,대화형-미정-현재-불확실
""" 이번에 통과된 코로나19 이방법은 먼가요? ＂",대화형,미정,현재,불확실,대화형-미정-현재-불확실
백내암 진단을 받더라도 정신과치료를 받을 정도의 특별한 상황이라는 것을 이해하지 못하면 30만원 이상의 치료을 받기 어려울 것으로 예상된다.,예측형,부정,미래,불확실,예측형-부정-미래-불확실
불안하고 위험스러운 환경에서 인간의 존재 하나로 하여금 불안함과 안전을 선택해야 하는 이 사회에서 과연 어떠한 모습일까.,대화형,미정,미래,불확실,대화형-미정-미래-불확실
"과연, 정소성 ( neuro - plasteion ) 의 효과일까.",대화형,미정,미래,불확실,대화형-미정-미래-불확실
근래 들어 동물 소재 영화가 범람하는 이유가 무엇일까.,대화형,미정,현재,불확실,대화형-미정-현재-불확실
""" 임산부의 감염 "" 이 임신 과정에 어떤 영향을 미치나요?",대화형,미정,미래,불확실,대화형-미정-미래-불확실
"정보화 시대에는 자고 일어나 잠들어서 낮에서 뇌부가 전화받듯이 타인의 공간 속에서 존재하다. 낮에서 이루어지는 모든 순간의 대화가 정말 내입 속에 존재하는것이 걸까, 아니면 정보일까.",대화형,미정,현재,불확실,대화형-미정-현재-불확실
"다음날인 1주일 아침풍기온은 19 ~ 23도, 낮미기온은 17 ~ 32도가 추정됨.",예측형,미정,미래,불확실,예측형-미정-미래-불확실
송송인 지인의 소속는 소유권을 정리하지 않았나요?,대화형,미정,현재,불확실,대화형-미정-현재-불확실
""" 기존 제품의들의 맛은 뭘까요? ＂",대화형,미정,현재,불확실,대화형-미정-현재-불확실
서태지와 단종의 가복한 사람들은 벼슬 양반들의 삶을 살았는가.,대화형,미정,과거,불확실,대화형-미정-과거-불확실
미래에 무슨 시장은쯤 되나?,대화형,미정,미래,불확실,대화형-미정-미래-불확실
남자랑 친구가 될 수가 있을까?,대화형,미정,미래,불확실,대화형-미정-미래-불확실
한편 17일 낮 기온은 전날에 비해 5 ~ 5도 안팎까지 올라 평년보다 조금 높겠다.,예측형,미정,미래,불확실,예측형-미정-미래-불확실
그렇다면 서울과장이 같은 다양한 집 중 거주할 만한 곳은 어디길래.,대화형,미정,현재,불확실,대화형-미정-현재-불확실
""" 이번에 개발된 코로나19 검사법은 무엇인가요 "" ＂",대화형,미정,현재,불확실,대화형-미정-현재-불확실
다만 푸드테크협의회에서도 대기업과 스타트업 간 협력이 가능할까.,대화형,미정,미래,불확실,대화형-미정-미래-불확실
망한 이유는 뭘까?,대화형,미정,현재,불확실,대화형-미정-현재-불확실
독일 출신 베네딕토 16명과 아르헨티나 출신 베토벤 교황 사이엔 무슨 일이 있었을까?,대화형,미정,과거,불확실,대화형-미정-과거-불확실
산에 호환 같은 것을 만들 수 없을까요.,대화형,미정,미래,불확실,대화형-미정-미래-불확실
불안하고 위험스러운 환경이 인간의 뇌 하나로 하여금 건강함과 안전을 선택했다 이 미래세계는 도대체 어떠한 모습인가?,대화형,미정,미래,불확실,대화형-미정-미래-불확실
공짜 돈을 주는 것에 만족할 도민는 없다!,대화형,미정,현재,불확실,대화형-미정-현재-불확실
그러면 왜 정통불교의 레이어트릴 수 있는지는 인정하지 않으려는 것 같다,대화형,부정,현재,불확실,대화형-부정-현재-불확실
얘네 언제 활동하는 사람임?,대화형,미정,현재,불확실,대화형-미정-현재-불확실
마약 유통 공룡들은 어떤 생존환경을 유지하고 있나요?,대화형,미정,현재,불확실,대화형-미정-현재-불확실
하지만 20년년전에 미국인들을 더 이상 공포에 몰아넣었던 건 2000년의 진시황이 아니었을까?,대화형,미정,과거,불확실,대화형-미정-과거-불확실
볼일을보고 꼭지를 누르면 그걸로 끝이라 믿엇는가.,대화형,미정,과거,불확실,대화형-미정-과거-불확실
"과연 우리는 한국의 경찰, 경찰, 경찰 어느 장단에 있는지 있을까.",대화형,미정,현재,불확실,대화형-미정-현재-불확실
코로나19 확진 진단을 받은 일반인들도 마스크를 착용해야 할까? ＂,대화형,미정,현재,불확실,대화형-미정-현재-불확실
저 핵을 5분의 1에 투자한 핵 경제력이 대한민국 인구 위기에 대한 남한의 마지막 희망이다.,대화형,미정,미래,불확실,대화형-미정-미래-불확실
아내가 해야 할 일을 하지 않은 걸 어떻게 탓할 수 있겠어요?,대화형,부정,과거,불확실,대화형-부정-과거-불확실
"그래서, 저이 있는 곳은어디일까요?",대화형,미정,현재,불확실,대화형-미정-현재-불확실
뭐가 영화일까요?,대화형,미정,현재,불확실,대화형-미정-현재-불확실
"바다 미세먼지나 공기가 작아서 물이 토양을 복구 안되며, 강과 호수 등 식수가 오염 될 가능성도 있음.",대화형,미정,미래,불확실,대화형-미정-미래-불확실
독일의 베네딕토 16세와 영국과 프란치스코 교황은 무슨 일이 일어났는가.,대화형,미정,과거,불확실,대화형-미정-과거-불확실
＂ 기존에 설치된 제품의 짝퉁 아닌가?!,대화형,미정,현재,불확실,대화형-미정-현재-불확실
＂ 확진된 환자와 신생아가 같은 방에서 지내도 되나?.,대화형,미정,미래,불확실,대화형-미정-미래-불확실
"결국 국내 은행들은 상대적으로 손쉬운 이자 장사에만 다시 몰두할 것이고, 외국인 투자자들은 한국 금융사를 더 이상 쳐다보지 않을 것이다.",예측형,부정,미래,불확실,예측형-부정-미래-불확실
제9호의'메이킹'MABASAK )'으로 2일부터 3일 동안 전국에 바람이 강하게 부는 온 지역에 400㎜ 이상의 물폭탄이 쏟아질 것으로 예상된다.,예측형,미정,미래,불확실,예측형-미정-미래-불확실
"AI가 바리스타된 바둑이가 되어 곳곳에서 사람을 구하던 지금, 인간의 사랑은 어디에도?",대화형,미정,현재,불확실,대화형-미정-현재-불확실
영화에서 공포를 피할 수는 없을까.,대화형,미정,미래,불확실,대화형-미정-미래-불확실
세종시 아파트가 들썩거리는 이유는 무엇일까?,대화형,미정,현재,불확실,대화형-미정-현재-불확실
뭐가 스윙일까요.,대화형,미정,현재,불확실,대화형-미정-현재-불확실
＂ 산모와 신생아 상처는?!,대화형,미정,현재,불확실,대화형-미정-현재-불확실
제9호 태풍 쏭삭 ( MAYSAE ) 이 오는 2 ~ 3일 전국에 강한 바람과 함께 일부 지역에는 400명 이상의 물폭탄이 예상된다.,예측형,미정,미래,불확실,예측형-미정-미래-불확실
＂ 본형사수조사기법이 무엇인가? ＂,대화형,미정,현재,불확실,대화형-미정-현재-불확실
신종 폐렴 바이러스 규모 ( 신종 폐렴 ) 로 처리하고 사법부를 강화하려고 하는데 중국이 미국과 합작한 2000명 규모 ( 약 2조원'규모 의 추가 처리를 제대로 이행하기는 어려울 것으로 보인다.,예측형,부정,미래,불확실,예측형-부정-미래-불확실
세종시가 흔들리었던 이유가 뭐일까.,대화형,미정,현재,불확실,대화형-미정-현재-불확실
＂ 확진된 환자와 신생아는은 고아원에서 놀아도 되나?.,대화형,미정,미래,불확실,대화형-미정-미래-불확실
"스티븐 역병 의 말처럼 우리가 이미 알고 있는 감염병.의 신종 감염병이 동물을 매개로, 국가에서 직접 접촉성을 통해 세계 세계로 확산시킬 수 있습니다.",대화형,미정,미래,불확실,대화형-미정-미래-불확실
"과연 지금 어느 기업, 기업, 기업 어느 쪽에 가까울까?",대화형,미정,현재,불확실,대화형-미정-현재-불확실
＂ 혈액방시선조사기란 무엇인가? ＂,대화형,미정,현재,불확실,대화형-미정-현재-불확실
그렇다면 조선군은 형편없는 겁쟁이였을까?,대화형,미정,과거,불확실,대화형-미정-과거-불확실
"""확인된 유아복과 침구는 재사용이 가능한가요?""",대화형,미정,미래,불확실,대화형-미정-미래-불확실
17시 저녁 경기신부와 충청권을 보면 소나기가 내리는 곳이 있겠다!,예측형,미정,미래,불확실,예측형-미정-미래-불확실
"아침에 일어나서 잠이 들 때까지 스크린을 통한 정보를 뇌에 입력받으며 정보의 홍수 속에 살아가는 정보화 시대. 과연 하루 동안 내리는 다양한 의사결정의 주체는 과연 ＇나＇일까, 아니면 나의 뇌 속에 들어와 있는 ＇정보＇일까.",대화형,미정,현재,불확실,대화형-미정-현재-불확실
"테이키키호테에서, 용감한 영웅인가.",대화형,미정,현재,불확실,대화형-미정-현재-불확실
＂ 새로 통과된 코로나19 검사법은? ＂,대화형,미정,현재,불확실,대화형-미정-현재-불확실
"결국 국내 투자자들은 상대적으로 손쉬운 자스민에 다시 집중하는데, 국내 투자자들은 더 이상 한국 금융업자들을 쳐다보지도 않을거다.",예측형,부정,미래,불확실,예측형-부정-미래-불확실
마약 유통 공룡들은 어떻게 수사환경을 유지할수 있나요?,대화형,미정,현재,불확실,대화형-미정-현재-불확실
요즘 이런 영화들이 흥행하는 이유는 무엇일까요?,대화형,미정,현재,불확실,대화형-미정-현재-불확실
길쭉한 쌀과 튀겨놓은 조가 비슷할 나이차 없지 않나?,대화형,부정,현재,불확실,대화형-부정-현재-불확실
아기는 어떨까요?,대화형,미정,현재,불확실,대화형-미정-현재-불확실
"장마 · 여름 · 여름 등 환경적 부상으로 승용차 고장율도 많아졌고, 비가 찾아오면 여름을 미뤄온 고장도 늘어날 것으로 보인다.",예측형,미정,현재,불확실,예측형-미정-현재-불확실
"이것이 지금 한국의 기업. 사회, 정치가 어느 면에서 가까울까.",대화형,미정,현재,불확실,대화형-미정-현재-불확실
단기 조정은 있을 수 있지만 지난해 11월 이후와 같은 하락장이 나올 가능성은 많지 않습니다.,대화형,부정,현재,불확실,대화형-부정-현재-불확실
＂ 기존에도 논란된 영화의 논란은? ＂,대화형,미정,현재,불확실,대화형-미정-현재-불확실
토론토 블루맨스 1선발로 2020년 메이저대회를 시작하는 류현진 (? ) 에게 올해 성적표는 어떨까.,대화형,미정,미래,불확실,대화형-미정-미래-불확실
그러나 30세기대에 미국인을 가장 큰 사지로 몰아넣었던 것은 1929년도의 진시황 때문이 아니었을까?,대화형,미정,과거,불확실,대화형-미정-과거-불확실
대테러가이 될만큼 그렇게 급했나요?,대화형,미정,과거,불확실,대화형-미정-과거-불확실
그렇다면 조선군은 형편없는 겁을 있었을까?,대화형,미정,과거,불확실,대화형-미정-과거-불확실
"중국 코로나 감염증 ( 우한 폐렴 ) 사태 수습과 내수 정상화에 힘써야 할 중국이 미국과 약속하는 2000억 기부 ( 약 2조원 "" 추가 구매를 제대로 이행하기는 어려울 것이다.",예측형,부정,미래,불확실,예측형-부정-미래-불확실
소녀와 소녀가행복한 사람들은 벼슬 공주들의 삶을 살고있는가.,대화형,미정,과거,불확실,대화형-미정-과거-불확실
불안과 위험한 환경이 내 타인으로 하여금 불안함과 안전을 선택하게 할 때 미래의은 뭐가 될까?,대화형,미정,미래,불확실,대화형-미정-미래-불확실
＂ 본형사수조사기법이 무엇인가?!,대화형,미정,현재,불확실,대화형-미정-현재-불확실
거기에 무슨 골목이 있나요?,대화형,미정,현재,불확실,대화형-미정-현재-불확실
또한 녹은 빙하나 맑은 토양에서 나오는 물이 토양을 오염시키거나 오염에 영향에 식수로 유입될 가능성도 있다.,대화형,미정,미래,불확실,대화형-미정-미래-불확실
그 의도가 뭘까.,대화형,미정,현재,불확실,대화형-미정-현재-불확실
어떤 종류의 서스펜스가?,대화형,미정,현재,불확실,대화형-미정-현재-불확실
"이튿날인 18일 당최저기온 날이 19 ~ 23회, 낮뜨기 지역은 26 ~ 23도를 기록할 전망이다.",예측형,미정,미래,불확실,예측형-미정-미래-불확실
갑자기 연예계 기웃거리는 이유는 왜일까.,대화형,미정,현재,불확실,대화형-미정-현재-불확실
